Name,Character,Gender,Ethinicity,
Olivia Colman,Anne,Female,White,
Rachel Weisz,Sarah,Female,White,
Emma Delves,Queen's Maid,Female,White,
Faye Daveney,Sarah's Maid,Female,White,
Emma Stone,Abigail,Female,White,
Paul Swaine,Wanking Man,Male,White,
Jennifer White,Mrs Meg,Female,White,
Lilly-Rose Stevens,Sally,Female,White,
Denise Mack,Kitchen Servant,Female,White,
James Smith,Godolphin,Male,White,
Mark Gatiss,Marlborough,Male,White,
Horatio,Fastest Duck in the City,Male,White,
Willem Dalby,Central Tory Booker,Male,White,`
Edward Aczel,Earl of Stratford,Male,White,
Carolyn Saint-P̩,MADAME TOURNEE,Female,White,
John Locke,Courtier,Male,White,
Nicholas Hoult,Harley,Male,White,
Everal Walsh,"Servant, Upstairs",Male,POC,
Basil Eidenbenz,Footman #2,Male,White,
Declan Wyer,FOOTMAN O/S,Male,White,
Anthony Dougall,Queen's Doctor,Male,White,
James Melville,Footman 1,Male,White,
Timothy Innes,Footman,Male,White,
Joe Alwyn,Masham,Male,White,
Ben English,Page #1,Male,White,
Wilson Radjou-Pujalte,Pigeon Boy,Male,POC,
Peter Brookes,Page #2,Male,White,
Gavin Henderson,Music Teacher,Male,White,
Djordje Jovanovic,Child Orchestra,Male,White,
Sam Kemp,Child Orchestra,Male,White,
Hana McDowell,Child Orchestra,Female,White,
James Perrin,Child Orchestra,Male,White,
Luca Wiseman,Child Orchestra,Male,White,
Callum Lewin,Nude Pomegranate Tory,Male,White,
Jenny Rainsford,Mae,Female,White,
Liam Fleming,Kevin,Male,White,
Angela Hicks,Singing Woman,Female,White,
Martin Pemberton,Fire Eater,Male,White,
